track,artist,track,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
14,Martin Garrix,4ut5G4rgB1ClpMTMfjoIuy,0.0129,https://api.spotify.com/v1/audio-analysis/4ut5G4rgB1ClpMTMfjoIuy,0.414,230762,0.486,4ut5G4rgB1ClpMTMfjoIuy,0.0,6,0.111,-6.431,0,0.0311,128.038,4,https://api.spotify.com/v1/tracks/4ut5G4rgB1ClpMTMfjoIuy,audio_features,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,0.368
15,Martin Garrix,3nc420PXjTdBV5TN0gCFkS,0.584,https://api.spotify.com/v1/audio-analysis/3nc420PXjTdBV5TN0gCFkS,0.506,216420,0.693,3nc420PXjTdBV5TN0gCFkS,9.58e-05,0,0.0891,-7.265,0,0.0412,139.912,4,https://api.spotify.com/v1/tracks/3nc420PXjTdBV5TN0gCFkS,audio_features,spotify:track:3nc420PXjTdBV5TN0gCFkS,0.221
16,Martin Garrix,1ahVFh0ViDZr8LvkEVlq3B,0.129,https://api.spotify.com/v1/audio-analysis/1ahVFh0ViDZr8LvkEVlq3B,0.44,207095,0.635,1ahVFh0ViDZr8LvkEVlq3B,0.0,11,0.121,-6.385,1,0.0326,128.133,4,https://api.spotify.com/v1/tracks/1ahVFh0ViDZr8LvkEVlq3B,audio_features,spotify:track:1ahVFh0ViDZr8LvkEVlq3B,0.327
17,Martin Garrix,22zxLxXlXrBIm7XaazHNrg,0.0176,https://api.spotify.com/v1/audio-analysis/22zxLxXlXrBIm7XaazHNrg,0.422,244453,0.711,22zxLxXlXrBIm7XaazHNrg,0.0,2,0.559,-4.809,0,0.0385,128.066,4,https://api.spotify.com/v1/tracks/22zxLxXlXrBIm7XaazHNrg,audio_features,spotify:track:22zxLxXlXrBIm7XaazHNrg,0.321
18,Martin Garrix,6jA8HL9i4QGzsj6fjoxp8Y,0.124,https://api.spotify.com/v1/audio-analysis/6jA8HL9i4QGzsj6fjoxp8Y,0.611,221904,0.644,6jA8HL9i4QGzsj6fjoxp8Y,0.0,6,0.124,-7.607,0,0.0553,105.969,4,https://api.spotify.com/v1/tracks/6jA8HL9i4QGzsj6fjoxp8Y,audio_features,spotify:track:6jA8HL9i4QGzsj6fjoxp8Y,0.13
19,Martin Garrix,4aTtHoSBB0CuQGA6vXBNyp,0.0655,https://api.spotify.com/v1/audio-analysis/4aTtHoSBB0CuQGA6vXBNyp,0.466,239067,0.612,4aTtHoSBB0CuQGA6vXBNyp,4.07e-06,8,0.132,-4.855,0,0.0307,128.114,4,https://api.spotify.com/v1/tracks/4aTtHoSBB0CuQGA6vXBNyp,audio_features,spotify:track:4aTtHoSBB0CuQGA6vXBNyp,0.236
20,Los Fabulosos Cadillacs,198qSChSMQFuSimdeeY9gK,0.346,https://api.spotify.com/v1/audio-analysis/198qSChSMQFuSimdeeY9gK,0.708,279987,0.672,198qSChSMQFuSimdeeY9gK,1.97e-05,7,0.382,-5.538,1,0.0352,134.635,4,https://api.spotify.com/v1/tracks/198qSChSMQFuSimdeeY9gK,audio_features,spotify:track:198qSChSMQFuSimdeeY9gK,0.963
21,Los Fabulosos Cadillacs,7d4pdMym8ZBOgf1oVPTiPb,0.0274,https://api.spotify.com/v1/audio-analysis/7d4pdMym8ZBOgf1oVPTiPb,0.543,275893,0.962,7d4pdMym8ZBOgf1oVPTiPb,0.027,4,0.09,-5.337,0,0.106,193.66,4,https://api.spotify.com/v1/tracks/7d4pdMym8ZBOgf1oVPTiPb,audio_features,spotify:track:7d4pdMym8ZBOgf1oVPTiPb,0.639
22,Los Fabulosos Cadillacs,1orgfjGJoycODSItcGVatE,0.0119,https://api.spotify.com/v1/audio-analysis/1orgfjGJoycODSItcGVatE,0.733,291973,0.602,1orgfjGJoycODSItcGVatE,4.63e-06,7,0.0642,-7.65,1,0.0834,80.473,4,https://api.spotify.com/v1/tracks/1orgfjGJoycODSItcGVatE,audio_features,spotify:track:1orgfjGJoycODSItcGVatE,0.834
23,Los Fabulosos Cadillacs,41MfyUSxQoo1BgIsNj8eDS,0.133,https://api.spotify.com/v1/audio-analysis/41MfyUSxQoo1BgIsNj8eDS,0.765,237347,0.849,41MfyUSxQoo1BgIsNj8eDS,0.000667,7,0.218,-4.504,0,0.0287,107.55,4,https://api.spotify.com/v1/tracks/41MfyUSxQoo1BgIsNj8eDS,audio_features,spotify:track:41MfyUSxQoo1BgIsNj8eDS,0.957
24,Los Fabulosos Cadillacs,5nofWp3plvxYX1xgHpe4fi,0.116,https://api.spotify.com/v1/audio-analysis/5nofWp3plvxYX1xgHpe4fi,0.725,243720,0.939,5nofWp3plvxYX1xgHpe4fi,0.0,0,0.0225,-4.223,1,0.0651,103.09,4,https://api.spotify.com/v1/tracks/5nofWp3plvxYX1xgHpe4fi,audio_features,spotify:track:5nofWp3plvxYX1xgHpe4fi,0.735
25,Los Fabulosos Cadillacs,7nOt7uN0iXGuvLRVfvclg5,0.0754,https://api.spotify.com/v1/audio-analysis/7nOt7uN0iXGuvLRVfvclg5,0.647,272640,0.602,7nOt7uN0iXGuvLRVfvclg5,0.0,4,0.132,-5.563,1,0.0895,84.94,4,https://api.spotify.com/v1/tracks/7nOt7uN0iXGuvLRVfvclg5,audio_features,spotify:track:7nOt7uN0iXGuvLRVfvclg5,0.715
26,Los Fabulosos Cadillacs,6ccAXgG6HuweRLBXU3amQ5,0.216,https://api.spotify.com/v1/audio-analysis/6ccAXgG6HuweRLBXU3amQ5,0.747,272840,0.68,6ccAXgG6HuweRLBXU3amQ5,1.14e-06,7,0.267,-5.877,0,0.0553,126.257,4,https://api.spotify.com/v1/tracks/6ccAXgG6HuweRLBXU3amQ5,audio_features,spotify:track:6ccAXgG6HuweRLBXU3amQ5,0.79
27,Los Fabulosos Cadillacs,67VY2M8IZedcXJcy8LG5EH,0.511,https://api.spotify.com/v1/audio-analysis/67VY2M8IZedcXJcy8LG5EH,0.701,264027,0.46,67VY2M8IZedcXJcy8LG5EH,9.84e-05,9,0.214,-6.141,1,0.0421,92.725,4,https://api.spotify.com/v1/tracks/67VY2M8IZedcXJcy8LG5EH,audio_features,spotify:track:67VY2M8IZedcXJcy8LG5EH,0.853
28,Los Fabulosos Cadillacs,38BgSgrjtPKDkFxykexEFu,0.00432,https://api.spotify.com/v1/audio-analysis/38BgSgrjtPKDkFxykexEFu,0.562,256773,0.923,38BgSgrjtPKDkFxykexEFu,0.00197,7,0.0513,-5.166,1,0.0436,113.853,4,https://api.spotify.com/v1/tracks/38BgSgrjtPKDkFxykexEFu,audio_features,spotify:track:38BgSgrjtPKDkFxykexEFu,0.793
29,Los Fabulosos Cadillacs,1GcL18n7WMpc6xRwY7D0bE,0.134,https://api.spotify.com/v1/audio-analysis/1GcL18n7WMpc6xRwY7D0bE,0.786,241333,0.942,1GcL18n7WMpc6xRwY7D0bE,0.0223,7,0.0476,-3.751,1,0.0509,116.294,4,https://api.spotify.com/v1/tracks/1GcL18n7WMpc6xRwY7D0bE,audio_features,spotify:track:1GcL18n7WMpc6xRwY7D0bE,0.884
30,Brockhampton,6U0FIYXCQ3TGrk4tFpLrEA,0.449,https://api.spotify.com/v1/audio-analysis/6U0FIYXCQ3TGrk4tFpLrEA,0.453,204533,0.538,6U0FIYXCQ3TGrk4tFpLrEA,0.0,1,0.19,-8.212,1,0.0638,122.973,4,https://api.spotify.com/v1/tracks/6U0FIYXCQ3TGrk4tFpLrEA,audio_features,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,0.516
